P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART032	HART001	HART050	0.00769732	1.18704	0.235213	0.00651882	200197	114012	112270
HART053	HART001	HART032	0.286269	48.5261	2.3e-16	0.456559	71763.1	290213	161035
HART001	HART032	HART063	0.0249917	4.72319	2.32168e-06	0.00302358	584682	74823.4	71174.6
HART001	HART032	HART067	0.100961	19.639	2.3e-16	0.01754	530726	74448.3	60794
HART001	HART069	HART032	0.00031654	0.20275	0.839331	0.000281347	252230	68354.3	68311
HART001	HART032	ZZ3	0.0200005	3.11456	0.00184221	0.00489922	469291	78327.4	75255.6
HART001	HART032	ZZ7	0.0277777	4.37918	1.19126e-05	0.00600252	485766	76788.7	72638
HART032	HART001	ZZ9	0.00345796	0.514501	0.606902	0.000858246	462563	78782.5	78239.5
HART038	HART001	HART033	0.0207367	2.62162	0.0087513	0.0333967	144370	133481	128058
HART033	HART001	HART046	0.0482563	7.09243	1.31773e-12	0.0435042	353583	115793	105132
HART033	HART001	HART049	0.0591056	7.99633	1.28185e-15	0.0705804	322147	117458	104348
HART001	HART033	HART050	0.0107664	1.758	0.0787474	0.00992742	196132	123698	121063
HART033	HART001	HART053	0.0503105	6.84048	7.89281e-12	0.0575562	323560	116227	105093
HART033	HART001	HART063	0.0199097	3.94364	8.02554e-05	0.00265273	584603	82212.1	79002.4
HART033	HART001	HART067	0.0303121	5.97651	2.27963e-09	0.0057477	535297	76482.1	71981.9
HART001	HART069	HART033	0.000268384	0.158849	0.873788	0.000238769	264842	69844.1	69806.6
HART033	HART001	ZZ3	0.00763485	1.23421	0.217125	0.00207791	469070	86150.9	84845.3
HART033	HART001	ZZ7	0.0411277	6.72351	1.77401e-11	0.00962873	487106	85094.6	78371.6
HART033	HART001	ZZ9	0.0138814	2.11973	0.0340287	0.00382011	461187	88523.5	86099.5
HART046	HART001	HART038	0.349405	60.7388	2.3e-16	0.52249	74770	323449	155946
HART049	HART001	HART038	0.293598	50.0848	2.3e-16	0.461846	73844.4	289423	158047
HART038	HART001	HART050	0.00716959	1.10081	0.270979	0.00608247	200058	114100	112476
HART053	HART001	HART038	0.28601	48.5871	2.3e-16	0.457466	71974.9	290196	161116
HART001	HART038	HART063	0.0243581	4.60479	4.12889e-06	0.00295149	584611	74893.1	71331.4
HART001	HART038	HART067	0.100918	19.6281	2.3e-16	0.0175599	530596	74561.9	60892.1
HART001	HART069	HART038	0.000393187	0.263097	0.792476	0.000350986	252446	68353.1	68299.4
HART001	HART038	ZZ3	0.0198339	3.09087	0.00199573	0.00486533	469183	78425.9	75375.4
HART001	HART038	ZZ7	0.0270977	4.27242	1.93361e-05	0.00586411	485694	76849.8	72794.8
HART038	HART001	ZZ9	0.00379465	0.565164	0.571962	0.000943109	462477	78924.2	78327.5
HART001	HART046	HART049	0.0191564	3.50154	0.00046257	0.0504956	190070	231888	223171
HART050	HART001	HART046	0.213312	34.1978	2.3e-16	0.190465	319562	156840	101692
HART001	HART046	HART053	0.0362123	6.88681	5.70579e-12	0.0907832	189806	236816	220264
HART063	HART001	HART046	0.0782736	8.04939	8.32125e-16	0.192686	120737	385338	329393
HART067	HART001	HART046	0.0266797	3.80958	0.000139204	0.0667163	101373	322398	305642
HART001	HART069	HART046	0.000347206	0.216739	0.828411	0.000164252	488249	55461.9	55423.4
ZZ3	HART001	HART046	0.0333203	4.85178	1.22358e-06	0.0733729	142662	287790	269230
ZZ7	HART001	HART046	0.0277864	3.96856	7.23069e-05	0.0639111	131750	295971	279968
ZZ9	HART001	HART046	0.0419842	6.07443	1.24426e-09	0.0893995	150690	285563	262551
HART050	HART001	HART049	0.242519	37.4125	2.3e-16	0.266266	290105	160484	97836.5
HART053	HART049	HART001	0.00755483	2.05393	0.0399821	0.00655931	280263	176227	173584
HART049	HART001	HART063	0.0760999	13.3789	2.3e-16	0.0165852	441595	143895	123543
