P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART030	HART032	ZZ3	0.0339575	5.33277	9.6725e-08	0.00870448	457918	83406.4	77927.9
HART030	HART032	ZZ7	0.0637125	10.2394	2.3e-16	0.0141729	475015	82490.4	72608.6
HART030	HART032	ZZ9	0.0288279	4.33382	1.46542e-05	0.00740304	452070	84198.8	79480.3
HART030	HART033	HART038	0.00019011	0.024361	0.980565	0.000304078	139885	135539	135488
HART033	HART030	HART046	0.014342	2.1249	0.033595	0.0130103	356931	112745	109557
HART033	HART030	HART049	0.0138533	1.97026	0.0488085	0.0164808	325679	112018	108956
HART030	HART033	HART050	0.0160392	2.62014	0.00878929	0.0148302	196664	125308	121352
HART033	HART030	HART053	0.0195517	2.74376	0.00607404	0.0224222	326152	113100	108762
HART033	HART030	HART063	0.0225229	4.4659	7.97323e-06	0.00303479	584204	83353.1	79681.1
HART033	HART030	HART067	0.0186426	3.80875	0.000139669	0.00356371	535679	76230.9	73440.6
HART030	HART069	HART033	0.0045579	0.59187	0.553938	0.00705468	170859	122871	121756
HART030	HART033	ZZ3	0.00634164	1.00807	0.313422	0.00174976	470527	87379.9	86278.6
HART033	HART030	ZZ7	0.00601317	0.997937	0.31831	0.00142077	489647	82982.9	81990.9
HART030	HART033	ZZ9	0.016204	2.48837	0.0128329	0.00445185	462984	88974.4	86136.9
HART030	HART038	HART046	0.369413	65.2522	2.3e-16	0.366516	315450	164310	75661.5
HART030	HART038	HART049	0.391032	66.9501	2.3e-16	0.515925	282654	167641	73390.3
HART038	HART030	HART050	0.00127375	0.191824	0.84788	0.00113617	190179	119265	118961
HART030	HART038	HART053	0.396182	65.4439	2.3e-16	0.507286	281764	169048	73109.2
HART030	HART038	HART063	0.0200025	3.5739	0.000351707	0.00256942	572381	79027	75927.5
HART030	HART038	HART067	0.107725	20.472	2.3e-16	0.0197132	518745	79074.4	63694.6
HART030	HART069	HART038	0.0702519	8.35722	2.3e-16	0.0968889	162139	125056	108639
HART030	HART038	ZZ3	0.033794	5.31211	1.08363e-07	0.00867063	457864	83471	78013.8
HART030	HART038	ZZ7	0.063021	10.1299	2.3e-16	0.0140356	475015	82533.7	72747.7
HART030	HART038	ZZ9	0.0284637	4.27601	1.90274e-05	0.00731874	452060	84275.1	79610.4
HART030	HART046	HART049	0.0411098	7.76439	8.20394e-15	0.102724	188335	237626	218860
HART050	HART030	HART046	0.184765	30.3536	2.3e-16	0.164656	321727	152854	105178
HART030	HART046	HART053	0.0508483	9.87313	2.3e-16	0.123461	186786	241269	217920
HART030	HART046	HART063	0.457798	46.1672	2.3e-16	0.172589	379954	331482	123289
HART030	HART046	HART067	0.501543	61.2457	2.3e-16	0.264016	317617	308334	102355
HART030	HART069	HART046	0.0393356	5.35646	8.48679e-08	0.0310552	385010	99232.5	91721.2
HART030	HART046	ZZ3	0.310205	30.2624	2.3e-16	0.20492	283462	272374	143399
HART030	HART046	ZZ7	0.372534	36.8466	2.3e-16	0.2208	292128	283597	129649
HART030	HART046	ZZ9	0.281936	26.4994	2.3e-16	0.183757	281811	266272	149150
HART050	HART030	HART049	0.205263	32.8559	2.3e-16	0.223557	292774	154425	101826
HART049	HART053	HART030	0.00176775	0.488373	0.625286	0.00146378	286053	172578	171969
HART063	HART030	HART049	0.549445	136.208	2.3e-16	0.627699	147099	434289	126284
HART067	HART049	HART030	0.697915	167.044	2.3e-16	0.371346	357605	298980	53193.1
